risk_profile,investment_horizon,investment_amount,recommended_stock_category,recommended_mf_category
Moderate,Medium-term,930740,Growth,Hybrid
Aggressive,Short-term,858329,Small-Cap,Equity
Conservative,Medium-term,652924,Index,Hybrid
Moderate,Medium-term,285631,Index,Equity
Moderate,Short-term,349528,Index,Index
Conservative,Long-term,465639,Index,Debt
Conservative,Medium-term,547443,Value,Hybrid
Moderate,Long-term,283399,Growth,ELSS
Aggressive,Medium-term,655148,Growth,Equity
Moderate,Short-term,929483,Index,Hybrid
Conservative,Long-term,397740,Dividend,Debt
Moderate,Long-term,424521,Growth,ELSS
Conservative,Long-term,608831,Index,Hybrid
Moderate,Long-term,45094,Growth,ELSS
Aggressive,Medium-term,962602,Small-Cap,Equity
Moderate,Medium-term,230638,Index,Equity
Moderate,Long-term,436986,Index,ELSS
Conservative,Medium-term,544022,Dividend,Hybrid
Conservative,Long-term,737344,Index,Debt
Conservative,Long-term,311749,Index,Hybrid
Moderate,Short-term,87932,Value,Hybrid
Aggressive,Long-term,983123,Small-Cap,Equity
Conservative,Medium-term,134109,Dividend,Hybrid
Conservative,Long-term,562169,Index,Debt
Moderate,Short-term,204473,Value,Index
Conservative,Medium-term,958681,Dividend,Hybrid
Aggressive,Short-term,574410,Small-Cap,Equity
Aggressive,Short-term,777915,Small-Cap,Equity
Conservative,Long-term,831729,Dividend,Debt
Conservative,Short-term,121513,Index,Debt
Moderate,Short-term,46680,Value,Hybrid
Aggressive,Medium-term,93452,Growth,Equity
Aggressive,Short-term,61044,Growth,Equity
Conservative,Long-term,709444,Dividend,Hybrid
Moderate,Long-term,961693,Growth,ELSS
Aggressive,Long-term,154582,Growth,Equity
Aggressive,Short-term,362646,Small-Cap,Equity
Moderate,Medium-term,556440,Growth,Equity
Moderate,Long-term,619026,Index,ELSS
Aggressive,Short-term,167517,Growth,Equity
Aggressive,Long-term,742048,Growth,Equity
Moderate,Long-term,474369,Growth,ELSS
Aggressive,Medium-term,404411,Small-Cap,ELSS
Conservative,Long-term,114533,Index,Debt
Conservative,Medium-term,725309,Value,Hybrid
Moderate,Short-term,559721,Value,Index
Moderate,Long-term,932809,Index,Equity
Moderate,Short-term,199932,Index,Index
Conservative,Short-term,214685,Dividend,Debt
Aggressive,Short-term,58648,Growth,ELSS
Conservative,Long-term,204162,Dividend,Hybrid
Aggressive,Medium-term,237993,Growth,Equity
Conservative,Long-term,576401,Dividend,Debt
Aggressive,Short-term,256602,Small-Cap,ELSS
Conservative,Medium-term,899936,Dividend,Debt
Moderate,Short-term,664719,Index,Index
Conservative,Medium-term,708002,Dividend,Hybrid
Aggressive,Long-term,305206,Small-Cap,Equity
Conservative,Medium-term,343777,Index,Debt
Conservative,Long-term,575892,Dividend,Hybrid
Conservative,Short-term,251201,Index,Debt
Moderate,Medium-term,672038,Growth,Index
Conservative,Short-term,42121,Dividend,Debt
Moderate,Medium-term,976007,Blend,Equity
Moderate,Long-term,659303,Growth,ELSS
Conservative,Medium-term,883372,Value,Debt
Conservative,Medium-term,474495,Index,Hybrid
Conservative,Long-term,812926,Dividend,Hybrid
Aggressive,Long-term,709545,Small-Cap,Equity
Conservative,Long-term,412894,Index,Hybrid
Moderate,Medium-term,178704,Growth,Hybrid
Conservative,Short-term,56235,Dividend,Debt
Aggressive,Medium-term,142720,Growth,Equity
Conservative,Medium-term,353357,Dividend,Debt
Aggressive,Short-term,517438,Growth,Equity
Aggressive,Long-term,491517,Growth,ELSS
Conservative,Medium-term,733277,Dividend,Debt
Moderate,Short-term,550777,Value,Hybrid
Aggressive,Long-term,873713,Small-Cap,ELSS
Conservative,Long-term,933322,Index,Index
Conservative,Medium-term,380334,Index,Debt
Moderate,Long-term,396757,Index,Equity
Aggressive,Long-term,436365,Growth,ELSS
Aggressive,Short-term,954816,Small-Cap,Equity
Conservative,Short-term,440340,Dividend,Debt
Conservative,Long-term,638510,Index,Debt
Moderate,Short-term,11316,Index,Index
Moderate,Long-term,998494,Growth,Equity
Aggressive,Medium-term,70046,Growth,Equity
Aggressive,Short-term,875075,Small-Cap,Equity
Conservative,Long-term,997114,Dividend,Hybrid
Aggressive,Long-term,778475,Small-Cap,ELSS
Moderate,Short-term,893936,Index,Hybrid
Moderate,Short-term,125594,Value,Hybrid
Conservative,Medium-term,598330,Value,Hybrid
Moderate,Long-term,518566,Index,Equity
Moderate,Medium-term,662583,Index,Hybrid
Moderate,Medium-term,688462,Blend,Hybrid
Moderate,Medium-term,795025,Growth,Equity
Conservative,Short-term,124430,Dividend,Debt
Conservative,Medium-term,772318,Dividend,Hybrid
Aggressive,Short-term,397926,Growth,Equity
Moderate,Short-term,959461,Value,Index
Aggressive,Medium-term,416088,Growth,Equity
Conservative,Medium-term,584382,Index,Hybrid
Conservative,Long-term,844151,Index,Hybrid
Conservative,Medium-term,739245,Dividend,Debt
Conservative,Long-term,655391,Dividend,Hybrid
Conservative,Medium-term,663114,Index,Hybrid
Conservative,Medium-term,947197,Index,Hybrid
Conservative,Medium-term,846910,Value,Debt
Moderate,Medium-term,763523,Index,Index
Aggressive,Long-term,53677,Growth,ELSS
Conservative,Long-term,987516,Index,Hybrid
Moderate,Medium-term,938264,Blend,Index
Moderate,Medium-term,545872,Index,Hybrid
Aggressive,Long-term,274250,Small-Cap,ELSS
Conservative,Short-term,416885,Index,Debt
Aggressive,Short-term,522703,Growth,Equity
Conservative,Short-term,35223,Dividend,Debt
Moderate,Long-term,463882,Index,ELSS
Moderate,Long-term,832138,Index,ELSS
Moderate,Short-term,471235,Index,Index
Moderate,Short-term,464801,Index,Hybrid
Aggressive,Medium-term,430698,Growth,ELSS
Conservative,Long-term,856801,Dividend,Hybrid
Conservative,Long-term,699503,Index,Hybrid
Aggressive,Short-term,795977,Small-Cap,Equity
Conservative,Short-term,165312,Index,Debt
Moderate,Long-term,282159,Index,Equity
Conservative,Medium-term,878596,Dividend,Debt
Moderate,Short-term,990527,Index,Hybrid
Aggressive,Long-term,61500,Growth,ELSS
Conservative,Long-term,860357,Index,Hybrid
Aggressive,Medium-term,363123,Small-Cap,Equity
Conservative,Medium-term,892787,Index,Hybrid
Moderate,Short-term,745956,Index,Index
Aggressive,Short-term,234045,Small-Cap,Equity
Conservative,Short-term,714991,Dividend,Debt
Moderate,Long-term,729012,Index,Equity
Aggressive,Short-term,192159,Small-Cap,ELSS
Aggressive,Long-term,220861,Small-Cap,Equity
Conservative,Short-term,851341,Index,Debt
Conservative,Medium-term,807997,Dividend,Hybrid
Conservative,Medium-term,299741,Index,Hybrid
Moderate,Long-term,234376,Index,Index
Conservative,Medium-term,599911,Value,Hybrid
Aggressive,Long-term,412648,Small-Cap,ELSS
Aggressive,Long-term,84300,Small-Cap,Equity
Conservative,Medium-term,526909,Index,Debt
Conservative,Long-term,993218,Index,Hybrid
Aggressive,Medium-term,888269,Small-Cap,Equity
Moderate,Short-term,59314,Value,Hybrid
Conservative,Short-term,576253,Dividend,Debt
Conservative,Medium-term,893881,Value,Hybrid
Aggressive,Medium-term,749628,Small-Cap,Equity
Conservative,Medium-term,340101,Dividend,Hybrid
Moderate,Medium-term,446931,Blend,Hybrid
Aggressive,Short-term,194522,Growth,Equity
Conservative,Long-term,202974,Index,Debt
Aggressive,Long-term,300461,Small-Cap,ELSS
Conservative,Short-term,391335,Dividend,Debt
Conservative,Long-term,338897,Index,Hybrid
Conservative,Short-term,307386,Dividend,Debt
Moderate,Long-term,142001,Growth,Equity
Moderate,Medium-term,378406,Index,Index
Aggressive,Medium-term,264268,Small-Cap,Equity
Conservative,Medium-term,896238,Value,Debt
Conservative,Short-term,370868,Dividend,Debt
Moderate,Short-term,547868,Index,Index
Conservative,Long-term,638422,Dividend,Hybrid
Moderate,Long-term,892399,Index,ELSS
Conservative,Long-term,817174,Index,Debt
Aggressive,Short-term,27833,Small-Cap,ELSS
Conservative,Long-term,630709,Dividend,Debt
Conservative,Medium-term,605635,Index,Hybrid
Moderate,Long-term,84155,Growth,Equity
Conservative,Medium-term,886223,Index,Hybrid
Conservative,Short-term,755868,Dividend,Debt
Moderate,Medium-term,416743,Index,Hybrid
Aggressive,Medium-term,461355,Small-Cap,ELSS
Aggressive,Medium-term,124527,Small-Cap,Equity
Moderate,Short-term,239482,Value,Hybrid
Moderate,Short-term,734945,Value,Hybrid
Moderate,Short-term,575345,Index,Hybrid
Moderate,Short-term,208511,Value,Index
Moderate,Long-term,525553,Index,Index
Aggressive,Short-term,521474,Growth,Equity
Aggressive,Medium-term,316405,Small-Cap,ELSS
Moderate,Short-term,736272,Index,Index
Conservative,Long-term,403258,Dividend,Debt
Moderate,Long-term,557057,Index,Index
Conservative,Long-term,470329,Dividend,Debt
Moderate,Medium-term,218990,Growth,Hybrid
Moderate,Short-term,32449,Value,Hybrid
Aggressive,Short-term,966157,Growth,ELSS
Conservative,Short-term,956363,Dividend,Debt
Conservative,Medium-term,149648,Dividend,Debt
Aggressive,Medium-term,449090,Small-Cap,ELSS
Aggressive,Long-term,480415,Growth,ELSS
Aggressive,Long-term,308489,Small-Cap,ELSS
Aggressive,Short-term,127926,Small-Cap,ELSS
Conservative,Medium-term,779806,Index,Debt
Conservative,Medium-term,998284,Value,Debt
Moderate,Short-term,396720,Index,Hybrid
Moderate,Short-term,865860,Index,Hybrid
Aggressive,Long-term,758008,Growth,ELSS
Aggressive,Long-term,14321,Small-Cap,ELSS
Aggressive,Long-term,802208,Small-Cap,Equity
Moderate,Short-term,288263,Index,Hybrid
Moderate,Short-term,695929,Index,Hybrid
Moderate,Long-term,530709,Index,ELSS
Moderate,Long-term,140078,Growth,ELSS
Moderate,Medium-term,703956,Growth,Equity
Moderate,Medium-term,325111,Growth,Equity
Moderate,Long-term,698423,Index,Equity
Aggressive,Long-term,949844,Small-Cap,ELSS
Aggressive,Medium-term,872155,Small-Cap,Equity
Aggressive,Long-term,196502,Small-Cap,Equity
Aggressive,Medium-term,122620,Small-Cap,ELSS
Moderate,Medium-term,409884,Growth,Hybrid
Conservative,Medium-term,615168,Index,Hybrid
Moderate,Short-term,18195,Index,Hybrid
Conservative,Short-term,788985,Index,Debt
Aggressive,Long-term,636946,Small-Cap,ELSS
Moderate,Medium-term,67995,Growth,Hybrid
Aggressive,Short-term,140112,Small-Cap,Equity
Moderate,Long-term,753194,Index,Equity
Aggressive,Long-term,48250,Small-Cap,ELSS
Conservative,Long-term,792129,Index,Debt
Conservative,Long-term,943580,Index,Hybrid
Conservative,Long-term,25376,Index,Debt
Moderate,Medium-term,766935,Blend,Hybrid
Conservative,Long-term,721199,Dividend,Hybrid
Moderate,Medium-term,861155,Growth,Equity
Conservative,Short-term,577730,Dividend,Debt
Conservative,Long-term,539680,Index,Index
Moderate,Short-term,518193,Index,Hybrid
Moderate,Medium-term,526898,Blend,Index
Conservative,Medium-term,692466,Index,Debt
Moderate,Short-term,483061,Index,Index
Conservative,Long-term,34809,Dividend,Debt
Moderate,Long-term,125095,Index,Equity
Aggressive,Short-term,666053,Growth,Equity
Aggressive,Short-term,633761,Small-Cap,Equity
Aggressive,Short-term,104769,Growth,Equity
Aggressive,Long-term,987325,Small-Cap,Equity
Aggressive,Long-term,477375,Growth,ELSS
Conservative,Long-term,509302,Index,Hybrid
Aggressive,Short-term,515376,Small-Cap,ELSS
Aggressive,Long-term,608998,Small-Cap,Equity
Aggressive,Medium-term,807784,Small-Cap,ELSS
Aggressive,Short-term,193268,Growth,Equity
Moderate,Long-term,212138,Index,ELSS
Conservative,Short-term,670352,Index,Debt
Aggressive,Medium-term,63076,Small-Cap,ELSS
Aggressive,Medium-term,295498,Small-Cap,Equity
Aggressive,Short-term,668672,Small-Cap,Equity
Conservative,Short-term,317977,Dividend,Debt
Moderate,Medium-term,538606,Growth,Equity
Conservative,Short-term,646651,Dividend,Debt
Moderate,Medium-term,372136,Index,Hybrid
Aggressive,Medium-term,862435,Small-Cap,Equity
Aggressive,Long-term,168264,Small-Cap,ELSS
Conservative,Short-term,904273,Dividend,Debt
Conservative,Short-term,110726,Dividend,Debt
Moderate,Long-term,99199,Growth,Index
Moderate,Medium-term,391339,Growth,Equity
Conservative,Short-term,178561,Index,Debt
Moderate,Long-term,261131,Growth,Equity
Conservative,Long-term,379651,Dividend,Index
Moderate,Short-term,967813,Value,Index
Conservative,Long-term,904605,Index,Hybrid
Conservative,Medium-term,562561,Value,Hybrid
Conservative,Long-term,712913,Index,Hybrid
Moderate,Medium-term,563761,Blend,Hybrid
Moderate,Medium-term,595698,Index,Index
Moderate,Short-term,662824,Value,Index
Conservative,Long-term,416895,Dividend,Debt
Moderate,Medium-term,365125,Growth,Equity
Moderate,Medium-term,55310,Growth,Equity
Conservative,Long-term,617694,Index,Debt
Aggressive,Medium-term,201755,Growth,Equity
Conservative,Long-term,384909,Index,Index
Moderate,Short-term,298136,Value,Hybrid
Conservative,Medium-term,39433,Dividend,Hybrid
Aggressive,Medium-term,479790,Small-Cap,ELSS
Conservative,Long-term,822365,Dividend,Debt
Moderate,Long-term,972524,Growth,ELSS
Aggressive,Long-term,956740,Small-Cap,Equity
Moderate,Long-term,724095,Growth,ELSS
Aggressive,Medium-term,675130,Small-Cap,ELSS
Aggressive,Short-term,341429,Small-Cap,Equity
Conservative,Short-term,906553,Dividend,Debt
Conservative,Short-term,394891,Dividend,Debt
Moderate,Short-term,438487,Value,Hybrid
Conservative,Long-term,214463,Index,Hybrid
Conservative,Medium-term,908114,Index,Hybrid
Aggressive,Medium-term,774993,Growth,ELSS
Conservative,Medium-term,33439,Dividend,Debt
Aggressive,Long-term,367970,Growth,Equity
Aggressive,Medium-term,414317,Growth,ELSS
Aggressive,Long-term,627064,Small-Cap,Equity
Moderate,Medium-term,747679,Index,Hybrid
Moderate,Short-term,915502,Index,Index
Moderate,Long-term,448133,Growth,ELSS
Aggressive,Medium-term,364489,Small-Cap,Equity
Moderate,Short-term,909355,Index,Index
Moderate,Short-term,879891,Value,Hybrid
Conservative,Short-term,254361,Index,Debt
Moderate,Long-term,745922,Index,Equity
Moderate,Long-term,444412,Growth,Equity
Aggressive,Medium-term,688929,Growth,ELSS
Aggressive,Short-term,916030,Growth,Equity
Aggressive,Medium-term,707247,Growth,Equity
Aggressive,Medium-term,948397,Small-Cap,ELSS
Aggressive,Short-term,884403,Growth,Equity
Aggressive,Medium-term,458520,Growth,ELSS
Moderate,Long-term,133299,Growth,Equity
Aggressive,Medium-term,505644,Growth,Equity
Aggressive,Short-term,435615,Growth,Equity
Conservative,Long-term,782443,Dividend,Hybrid
Moderate,Long-term,821668,Index,ELSS
Moderate,Medium-term,495951,Index,Hybrid
Moderate,Medium-term,751230,Blend,Index
Aggressive,Long-term,386823,Small-Cap,Equity
Aggressive,Medium-term,501969,Growth,ELSS
Aggressive,Short-term,977035,Growth,ELSS
Conservative,Medium-term,90570,Dividend,Hybrid
Aggressive,Medium-term,630909,Small-Cap,Equity
Conservative,Long-term,281586,Index,Hybrid
Moderate,Medium-term,328581,Index,Equity
Aggressive,Medium-term,790699,Growth,ELSS
Conservative,Medium-term,987846,Dividend,Hybrid
Conservative,Short-term,350323,Dividend,Debt
Aggressive,Medium-term,962573,Small-Cap,Equity
Moderate,Short-term,738606,Index,Hybrid
Moderate,Short-term,703920,Index,Hybrid
Moderate,Short-term,461286,Index,Index
Conservative,Short-term,445643,Dividend,Debt
Conservative,Long-term,922040,Dividend,Debt
Conservative,Short-term,988000,Dividend,Debt
Conservative,Medium-term,598845,Value,Hybrid
Moderate,Short-term,607040,Index,Index
Aggressive,Medium-term,218320,Growth,ELSS
Conservative,Short-term,211513,Dividend,Debt
Conservative,Long-term,582822,Index,Debt
Moderate,Short-term,376447,Index,Hybrid
Aggressive,Short-term,169002,Growth,Equity
Aggressive,Long-term,919727,Small-Cap,ELSS
Moderate,Short-term,754402,Index,Index
Moderate,Medium-term,387431,Growth,Hybrid
Aggressive,Short-term,803720,Growth,Equity
Conservative,Short-term,119570,Index,Debt
Aggressive,Short-term,891979,Small-Cap,Equity
Moderate,Long-term,532699,Index,Equity
Conservative,Short-term,615410,Dividend,Debt
Conservative,Short-term,726878,Index,Debt
Moderate,Medium-term,42400,Growth,Equity
Moderate,Short-term,919041,Index,Hybrid
Moderate,Short-term,142639,Value,Index
Aggressive,Short-term,582166,Growth,Equity
Aggressive,Short-term,58850,Small-Cap,ELSS
Conservative,Medium-term,928598,Value,Hybrid
Moderate,Medium-term,676495,Blend,Equity
Conservative,Long-term,875476,Dividend,Hybrid
Conservative,Short-term,55113,Index,Debt
Conservative,Long-term,68791,Dividend,Hybrid
Conservative,Long-term,806116,Dividend,Debt
Moderate,Short-term,889215,Index,Index
Conservative,Medium-term,606015,Dividend,Hybrid
Moderate,Medium-term,879810,Index,Equity
Moderate,Short-term,592840,Index,Hybrid
Aggressive,Short-term,149118,Growth,Equity
Moderate,Medium-term,539222,Blend,Hybrid
Aggressive,Short-term,987060,Small-Cap,ELSS
Moderate,Short-term,712166,Value,Index
Moderate,Short-term,273498,Value,Hybrid
Moderate,Medium-term,639065,Growth,Equity
Aggressive,Long-term,629640,Growth,ELSS
Aggressive,Long-term,264164,Small-Cap,ELSS
Conservative,Short-term,63046,Dividend,Debt
Aggressive,Medium-term,383242,Small-Cap,Equity
Aggressive,Short-term,599352,Growth,ELSS
Aggressive,Medium-term,329328,Growth,Equity
Aggressive,Short-term,668323,Small-Cap,ELSS
Conservative,Medium-term,37424,Dividend,Debt
Aggressive,Medium-term,745399,Small-Cap,Equity
Moderate,Long-term,668402,Growth,Index
Moderate,Short-term,508493,Value,Index
Aggressive,Long-term,279283,Growth,ELSS
Aggressive,Long-term,283370,Small-Cap,ELSS
Moderate,Medium-term,377378,Blend,Index
Moderate,Short-term,483514,Index,Index
Conservative,Medium-term,355796,Dividend,Hybrid
Moderate,Medium-term,703468,Growth,Equity
Moderate,Medium-term,604935,Blend,Hybrid
Aggressive,Short-term,602905,Growth,Equity
Moderate,Short-term,170887,Value,Hybrid
Conservative,Medium-term,935306,Dividend,Debt
Moderate,Short-term,707590,Index,Index
Aggressive,Medium-term,204444,Small-Cap,ELSS
Aggressive,Short-term,779244,Growth,Equity
Moderate,Short-term,719380,Index,Hybrid
Aggressive,Long-term,486665,Small-Cap,ELSS
Conservative,Medium-term,158537,Dividend,Debt
Conservative,Long-term,411210,Dividend,Debt
Moderate,Long-term,537819,Growth,ELSS
Moderate,Medium-term,674703,Growth,Hybrid
Moderate,Medium-term,462282,Blend,Hybrid
Aggressive,Short-term,764380,Small-Cap,Equity
Conservative,Medium-term,933733,Index,Hybrid
Conservative,Long-term,366455,Index,Hybrid
Aggressive,Long-term,757662,Small-Cap,Equity
Conservative,Medium-term,92124,Index,Debt
Moderate,Long-term,491920,Growth,ELSS
Moderate,Short-term,710149,Index,Hybrid
Moderate,Long-term,578357,Growth,ELSS
Conservative,Short-term,767758,Dividend,Debt
Moderate,Long-term,228474,Index,ELSS
Aggressive,Short-term,937028,Growth,Equity
Aggressive,Short-term,656195,Growth,Equity
Conservative,Medium-term,790288,Index,Debt
Aggressive,Short-term,98074,Small-Cap,Equity
Aggressive,Medium-term,118345,Small-Cap,ELSS
Conservative,Long-term,227834,Index,Debt
Moderate,Long-term,466319,Growth,ELSS
Moderate,Long-term,935607,Index,Equity
Moderate,Short-term,461797,Value,Hybrid
Conservative,Long-term,487154,Dividend,Debt
Aggressive,Long-term,64203,Small-Cap,ELSS
Moderate,Medium-term,156162,Index,Hybrid
Moderate,Medium-term,550203,Growth,Hybrid
Conservative,Long-term,837909,Dividend,Index
Moderate,Long-term,198059,Index,Equity
Conservative,Short-term,980742,Dividend,Debt
Aggressive,Short-term,490263,Growth,Equity
Conservative,Long-term,388884,Index,Debt
